年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,9,7,藤岡 佑介,57.0,494,1:57.7,None,ミュージアムマイル
2025年3月16日,中山,スプリングS,芝1800,重,12,1,3,藤岡 佑介,57.0,496,1:51.8,108,ピコチャンブラック
2024年7月21日,札幌,2歳新馬,芝1800,良,8,2,1,藤岡 佑介,55.0,494,1:47.8,None,(テリオスララ)
