年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,3,1,J.モレイラ,57.0,500,1:57.0,None,(クロワデュノール)
2025年3月9日,中山,ディープ記念,芝2000,稍重,14,1,4,幸 英明,57.0,502,2:01.5,108,ファウストラーゼン
2024年12月15日,京都,朝日杯FS,芝1600,良,16,2,2,C.デムーロ,56.0,494,1:34.5,111,アドマイヤズーム
2024年11月10日,京都,黄菊賞,芝2000,良,8,1,1,C.デムーロ,56.0,496,2:00.0,None,(ヤマニンブークリエ)
2024年10月5日,京都,2歳未勝利,芝1800,良,8,1,1,幸 英明,56.0,496,1:46.8,None,(ショウナンカゼルタ)
2024年8月24日,中京,2歳新馬,芝1600,良,16,4,3,幸 英明,55.0,500,1:35.5,None,ショウナンラフィネ
