年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,6,9,C.ルメール,57.0,506,1:57.9,None,ミュージアムマイル
2025年3月9日,中山,ディープ記念,芝2000,稍重,14,2,2,C.ルメール,57.0,516,2:01.3,111,ファウストラーゼン
2024年11月30日,中山,葉牡丹賞,芝2000,良,12,3,1,W.ビュイック,56.0,506,1:58.8,None,(ゲルチュタール)
2024年8月31日,新潟,2歳新馬,芝2000,良,7,1,1,C.ルメール,55.0,492,2:08.4,None,(キャピタルリッチ)
