年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,5,11,川田 将雅,57.0,500,1:58.0,None,ミュージアムマイル
2024年11月23日,京都,京都2歳S,芝2000,良,8,1,1,川田 将雅,56.0,498,2:00.9,112,(ジョバンニ)
2024年9月21日,中京,野路菊S,芝2000,良,5,1,1,川田 将雅,55.0,498,2:02.8,106,(ジョバンニ)
2024年6月23日,京都,2歳新馬,芝1800,重,8,1,1,川田 将雅,55.0,484,1:52.1,None,(サラコスティ)
