年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,1,2,北村 友一,57.0,500,1:57.3,None,ミュージアムマイル
2024年12月28日,中山,ホープフルS,芝2000,良,18,1,1,北村 友一,56.0,496,2:00.5,117,(ジョバンニ)
2024年11月16日,東京,東スポ2歳S,芝1800,良,9,1,1,北村 友一,56.0,504,1:46.8,112,(サトノシャイニング)
2024年6月9日,東京,2歳新馬,芝1800,良,11,3,1,北村 友一,55.0,480,1:46.7,None,(アルレッキーノ)
