年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,12,10,戸崎 圭太,57.0,464,1:58.0,None,ミュージアムマイル
2025年2月16日,東京,共同通信杯,芝1800,良,9,6,2,戸崎 圭太,57.0,466,1:46.1,111,マスカレードボール
2024年12月1日,中京,こうやまき賞,芝1600,良,7,2,1,川田 将雅,56.0,462,1:35.1,None,(ワース)
2024年10月13日,東京,2歳未勝利,芝1800,良,9,1,1,北村 宏司,56.0,458,1:48.0,None,(アルティテュード)
2024年9月16日,中山,2歳未勝利,芝1800,良,12,1,3,C.ルメール,55.0,464,1:49.1,None,ニシノイストワール
2024年7月28日,新潟,2歳新馬,芝1800,良,9,2,3,川田 将雅,55.0,458,1:48.8,None,ディアナザール
