年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,4,3,横山 武史,57.0,460,1:57.3,None,ミュージアムマイル
2025年2月16日,東京,共同通信杯,芝1800,良,9,1,1,坂井 瑠星,57.0,464,1:46.0,113,(カラマティアノス)
2024年12月28日,中山,ホープフルS,芝2000,良,18,4,11,戸崎 圭太,56.0,472,2:01.7,103,クロワデュノール
2024年10月19日,東京,アイビーS,芝1800,良,8,3,1,戸崎 圭太,56.0,472,1:45.8,108,(ピコチャンブラック)
2024年8月11日,新潟,2歳新馬,芝1600,良,13,1,1,戸崎 圭太,55.0,460,1:35.8,None,(マイネルチケット)
