年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,18,16,松岡 正海,57.0,456,1:58.6,None,ミュージアムマイル
2025年3月16日,中山,スプリングS,芝1800,重,12,7,2,松岡 正海,57.0,452,1:51.5,111,ピコチャンブラック
2025年2月22日,東京,フリージア賞,芝2000,良,9,3,3,松岡 正海,57.0,452,2:00.9,None,ヴァルキリーバース
2024年11月30日,中山,2歳未勝利,芝2000,良,14,1,1,松岡 正海,56.0,450,2:02.1,None,(マカナ)
2024年11月9日,東京,2歳未勝利,芝2000,良,12,4,2,松岡 正海,56.0,458,2:02.6,None,リアンベーレ
2024年10月5日,東京,2歳未勝利,芝1800,良,9,4,3,松岡 正海,56.0,450,1:49.2,None,コンフォルツァ
2024年9月8日,中山,2歳新馬,芝1600,良,15,11,7,松岡 正海,55.0,448,1:34.5,None,ファンダム
