年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,11,8,横山 和生,57.0,492,1:57.9,None,ミュージアムマイル
2025年3月9日,中山,ディープ記念,芝2000,稍重,14,5,3,横山 和生,57.0,494,2:01.4,110,ファウストラーゼン
2025年1月6日,中山,3歳1勝クラス,芝2000,良,12,1,2,戸崎 圭太,57.0,496,2:00.8,None,ゴーソーファー
2024年11月2日,東京,2歳新馬,芝2000,稍重,10,1,1,戸崎 圭太,56.0,488,2:02.1,None,(ディベルティスマン)
