年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,7,4,松山 弘平,57.0,482,1:57.4,None,ミュージアムマイル
2025年3月22日,阪神,若葉S,芝2000,良,9,1,1,松山 弘平,57.0,480,1:59.0,110,(ローランドバローズ)
2024年12月28日,中山,ホープフルS,芝2000,良,18,6,2,松山 弘平,56.0,484,2:00.8,112,クロワデュノール
2024年11月23日,京都,京都2歳S,芝2000,良,8,3,2,松山 弘平,56.0,484,2:01.1,109,エリキング
2024年9月21日,中京,野路菊S,芝2000,良,5,2,2,松山 弘平,55.0,484,2:02.9,105,エリキング
2024年7月7日,小倉,2歳新馬,芝1800,良,7,3,1,松山 弘平,55.0,482,1:50.1,None,(バズアップビート)
