年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,16,6,佐々木 大輔,57.0,516,1:57.6,None,ミュージアムマイル
2024年12月28日,中山,ホープフルS,芝2000,良,18,2,16,佐々木 大輔,56.0,510,2:02.6,95,クロワデュノール
2024年8月31日,札幌,札幌2歳S,芝1800,重,12,3,1,佐々木 大輔,55.0,500,1:50.3,110,(アルマヴェローチェ)
2024年7月7日,函館,2歳新馬,芝1800,稍重,10,1,1,佐々木 大輔,55.0,502,1:54.0,None,(ビーオンザカバー)
