年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,13,18,石橋 脩,57.0,484,1:58.9,None,ミュージアムマイル
2025年3月16日,中山,スプリングS,芝1800,重,12,2,1,石橋 脩,57.0,488,1:51.5,112,(フクノブルーレイク)
2024年12月28日,中山,ホープフルS,芝2000,良,18,3,13,川田 将雅,56.0,490,2:01.9,101,クロワデュノール
2024年10月19日,東京,アイビーS,芝1800,良,8,1,2,石橋 脩,56.0,486,1:46.0,105,マスカレードボール
2024年7月20日,福島,2歳新馬,芝2000,良,10,1,1,石橋 脩,55.0,472,2:03.6,None,(ヴィジョンメーカー)
