年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,14,13,津村 明秀,57.0,470,1:58.1,None,ミュージアムマイル
2025年1月19日,中山,京成杯,芝2000,良,14,11,1,津村 明秀,57.0,472,1:59.9,110,(ドラゴンブースト)
2024年12月8日,中山,2歳未勝利,芝1800,良,12,1,1,津村 明秀,56.0,470,1:48.4,None,(ルールーリマ)
2024年11月3日,東京,2歳未勝利,芝2000,良,9,2,4,三浦 皇成,56.0,470,2:01.4,None,ディヴァインスター
2024年9月28日,中山,2歳未勝利,芝2000,良,16,6,3,三浦 皇成,55.0,468,2:02.4,None,サトノラポール
2024年8月18日,新潟,2歳新馬,芝1800,良,12,4,2,三浦 皇成,55.0,472,1:49.7,None,パッションリッチ
