年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,2,5,西村 淳也,57.0,496,1:57.4,None,ミュージアムマイル
2025年2月9日,京都,きさらぎ賞,芝1800,稍重,10,1,1,西村 淳也,57.0,492,1:47.0,113,(リンクスティップ)
2024年11月16日,東京,東スポ2歳S,芝1800,良,9,3,2,松山 弘平,56.0,492,1:46.9,110,クロワデュノール
2024年9月22日,中京,2歳新馬,芝2000,良,11,2,1,松山 弘平,55.0,490,2:04.3,None,(ミラージュナイト)
