年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,8,15,杉原 誠人,57.0,456,1:58.2,None,ミュージアムマイル
2025年3月9日,中山,ディープ記念,芝2000,稍重,14,7,1,杉原 誠人,57.0,456,2:01.3,112,(ヴィンセンシオ)
2024年12月28日,中山,ホープフルS,芝2000,良,18,17,3,杉原 誠人,56.0,454,2:01.0,110,クロワデュノール
2024年11月3日,京都,2歳未勝利,芝2000,稍重,8,6,1,鮫島 克駿,56.0,456,2:01.7,None,(アロンディ)
2024年9月21日,中京,2歳新馬,芝1600,良,14,9,10,吉村 誠之助,52.0,462,1:36.6,None,ザラタン
