年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,17,17,丹内 祐次,57.0,476,1:58.6,None,ミュージアムマイル
2025年1月19日,中山,京成杯,芝2000,良,14,7,2,丹内 祐次,57.0,470,2:00.0,109,ニシノエージェント
2024年12月15日,京都,朝日杯FS,芝1600,良,16,10,7,田口 貫太,56.0,472,1:35.4,99,アドマイヤズーム
2024年11月9日,京都,デイリー2S,芝1600,良,7,3,2,田口 貫太,56.0,466,1:34.8,107,ランフォーヴァウ
2024年10月12日,京都,2歳未勝利,芝1600,良,16,8,1,田口 貫太,55.0,468,1:34.4,None,(ブーディガ)
2024年9月21日,中京,2歳新馬,芝1600,良,14,11,7,田口 貫太,54.0,458,1:36.5,None,ザラタン
