年月日,場,レース名,距離,馬場,頭数,人気,着順,騎手名,負担重量,馬体重,タイム,Rt,1着馬（2着馬）
2025年4月20日,中山,皐月賞,芝2000,良,18,15,12,坂井 瑠星,57.0,500,1:58.0,None,ミュージアムマイル
2025年3月9日,中山,ディープ記念,芝2000,稍重,14,4,10,丹内 祐次,57.0,498,2:02.5,100,ファウストラーゼン
2025年1月25日,中京,若駒S,芝2000,良,10,1,1,坂井 瑠星,57.0,498,2:02.3,108,(ミッキーゴールド)
2024年12月28日,中山,ホープフルS,芝2000,良,18,8,4,坂井 瑠星,56.0,510,2:01.2,108,クロワデュノール
2024年11月24日,東京,2歳新馬,芝1800,良,13,3,1,坂井 瑠星,56.0,504,1:48.0,None,(オプレントジュエル)
